"","word","count","sentiment","n"
"701","panic",1,"negative",1
"702","paranoia",1,"negative",1
"703","parasite",1,"negative",1
"704","parody",1,"negative",1
"705","passive",1,"negative",1
"706","pathetic",2,"negative",1
"707","patriotic",2,"positive",1
"708","peace",18,"positive",1
"709","perfect",2,"positive",1
"710","perfection",1,"positive",1
"711","perfectly",1,"positive",1
"712","perish",2,"negative",1
"713","perverse",2,"negative",1
"714","perversion",2,"negative",1
"715","pervert",1,"negative",1
"716","perverted",1,"negative",1
"717","perverts",1,"negative",1
"718","phenomenal",1,"positive",1
"719","picket",1,"negative",1
"720","pig",1,"negative",1
"721","pigs",2,"negative",1
"722","pillage",1,"negative",1
"723","pity",2,"negative",1
"724","plague",2,"negative",1
"725","plea",1,"negative",1
"726","pleasure",2,"positive",1
"727","ploy",1,"negative",1
"728","plunder",4,"negative",1
"729","poignant",1,"positive",1
"730","poison",2,"negative",1
"731","poor",7,"negative",1
"732","popular",1,"positive",1
"733","positive",3,"positive",1
"734","poverty",1,"negative",1
"735","powerful",20,"positive",1
"736","powerless",3,"negative",1
"737","praise",1,"positive",1
"738","precisely",2,"positive",1
"739","prefer",2,"positive",1
"740","preferable",1,"positive",1
"741","pretend",2,"negative",1
"742","pretentious",1,"negative",1
"743","pretty",20,"positive",1
"744","pride",2,"positive",1
"745","primitive",1,"negative",1
"746","prison",4,"negative",1
"747","privilege",1,"positive",1
"748","problem",8,"negative",1
"749","problems",7,"negative",1
"750","progress",9,"positive",1
"751","progressive",4,"positive",1
"752","prolific",1,"positive",1
"753","prominent",1,"positive",1
"754","promise",4,"positive",1
"755","promised",2,"positive",1
"756","promises",7,"positive",1
"757","promising",2,"positive",1
"758","propaganda",3,"negative",1
"759","prosperity",2,"positive",1
"760","protect",12,"positive",1
"761","protection",3,"positive",1
"762","protest",1,"negative",1
"763","protesting",1,"negative",1
"764","proud",10,"positive",1
"765","proves",1,"positive",1
"766","punch",2,"negative",1
"767","punk",2,"negative",1
"768","puppet",3,"negative",1
"769","pure",1,"positive",1
"770","quicker",2,"positive",1
"771","rabid",1,"negative",1
"772","racism",8,"negative",1
"773","racist",8,"negative",1
"774","radical",1,"negative",1
"775","radically",1,"negative",1
"776","rampant",4,"negative",1
